title,published_date,category,rank,date_datetime
STONEWALLED,2014-12-07,political science,20,2014-01-26 17:34:46.978746
41,2014-12-07,biography & autobiography,1,2014-01-26 17:34:46.978746
UNBROKEN,2014-12-07,biography & autobiography,2,2014-01-26 17:34:46.978746
KILLING PATTON,2014-12-07,history,3,2014-01-26 17:34:46.978746
THE BOYS IN THE BOAT,2014-12-07,sports & recreation,5,2014-01-26 17:34:46.978746
THE ANDY COHEN DIARIES,2014-12-07,biography & autobiography,6,2014-01-26 17:34:46.978746
THERE WAS A LITTLE GIRL,2014-12-07,biography & autobiography,7,2014-01-26 17:34:46.978746
WILD,2014-12-07,biography & autobiography,8,2014-01-26 17:34:46.978746
BEING MORTAL,2014-12-07,family & relationships,9,2014-01-26 17:34:46.978746
DREAMERS AND DECEIVERS,2014-12-07,biography & autobiography,10,2014-01-26 17:34:46.978746
YOU CAN'T MAKE THIS UP,2014-12-07,biography & autobiography,11,2014-01-26 17:34:46.978746
NOT THAT KIND OF GIRL,2014-12-07,biography & autobiography,12,2014-01-26 17:34:46.978746
SMALL VICTORIES,2014-12-07,literary collections,13,2014-01-26 17:34:46.978746
ONE NATION UNDER TAUGHT,2014-12-07,education,15,2014-01-26 17:34:46.978746
THE INNOVATORS,2014-12-07,biography & autobiography,16,2014-01-26 17:34:46.978746
SO ANYWAY . . .,2014-12-07,biography & autobiography,18,2014-01-26 17:34:46.978746
AS YOU WISH,2014-12-07,biography & autobiography,19,2014-01-26 17:34:46.978746
STONEWALLED,2014-12-07,political science,20,2014-01-26 17:34:46.978746
