,author,title,category,rank,published_date
3052,David Mamet,THE DISENLIGHTENMENT,art,13,2025-06-22
3766,Malala Yousafzai with Christina Lamb,I AM MALALA,biography & autobiography,11,2015-09-13
3657,Christy Beam,MIRACLES FROM HEAVEN,biography & autobiography,2,2016-04-10
4090,Bruce D. Perry and Oprah Winfrey,WHAT HAPPENED TO YOU?,psychology,13,2021-08-22
9,Timothy Snyder,ON TYRANNY,political science,10,2019-10-27
